Filename,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,drives,affiliation,achieve,power,reward,risk,work,leisure,home,money,relig,death
43873.txt,10.23,1.14,9.09,0,0,7.95,5.68,0,0,0,0,7.95,0,0,1.14,2.27,3.41,1.14,9.09,0,6.82,1.14,1.14,6.82,1.14,0,0,0,0,0
45125.txt,1.75,0,1.75,0,0,1.75,0,0,0,0,0,3.51,0,0,0,3.51,0,0.88,9.65,0,0,9.65,0,0,0.88,0,0,0,0,0
45364.txt,3.92,1.96,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,3.92,0,0,0,0,0,0,0,0
46305.txt,4.35,2.17,2.17,0,0,0,0,0,0,0,0,6.52,0,0,0,2.17,0,6.52,2.17,0,0,0,0,2.17,6.52,2.17,2.17,0,0,0
47680.txt,0,0,0,0,0,0,0,0,0,0,0,11.9,2.38,2.38,0,4.76,0,4.76,4.76,0,2.38,2.38,0,0,9.52,0,0,14.29,0,0
48882.txt,1.69,1.69,0,0,0,0,6.78,0,0,0,0,11.86,3.39,1.69,0,6.78,0,1.69,5.08,1.69,0,3.39,0,0,15.25,1.69,0,11.86,0,0
49174.txt,0,0,0,0,0,0,11.36,0,0,0,0,15.91,6.82,2.27,0,6.82,0,4.55,11.36,6.82,2.27,2.27,0,0,4.55,2.27,0,0,0,0
50891.txt,6.38,4.26,2.13,0,2.13,0,4.26,0,0,0,0,4.26,0,2.13,2.13,0,0,0,6.38,2.13,0,4.26,0,0,0,0,0,0,0,0
50911.txt,9.09,5.11,3.98,0,0,2.27,5.11,0,0,0.57,0.57,10.23,1.7,3.41,3.98,2.27,0.57,2.27,6.25,0,1.7,0.57,3.41,2.84,2.27,0,0,0.57,0,0
51090.txt,7.84,7.84,0,0,0,0,5.88,0,0,0,0,11.76,3.92,1.96,0,3.92,0,1.96,5.88,0,1.96,1.96,1.96,0,3.92,0,0,1.96,0,0
52844.txt,5.08,1.69,3.39,0,3.39,0,1.69,0,0,0,0,8.47,0,0,0,1.69,1.69,5.08,8.47,0,1.69,6.78,1.69,0,0,0,0,0,0,1.69
54425.txt,4.76,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,4.76,4.76,4.76,0,0,0,0,0,0,0
55550.txt,0,0,0,0,0,0,0,0,0,0,0,3.12,1.56,1.56,0,0,0,0,3.12,0,0,3.12,0,0,1.56,0,0,0,0,0
57147.txt,0,0,0,0,0,0,4.17,0,2.08,0,0,8.33,0,6.25,0,0,2.08,0,6.25,0,0,6.25,0,0,12.5,0,0,0,0,0
57614.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57909.txt,10.2,8.16,2.04,0,0,2.04,6.12,0,0,0,0,10.2,2.04,2.04,0,4.08,0,4.08,8.16,2.04,2.04,4.08,0,2.04,0,4.08,0,0,0,0
58716.txt,0,0,0,0,0,0,0,0,0,0,0,3.39,0,1.69,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0
60487.txt,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,0,3.23,0,0,6.45,0,0,6.45,0,0,0,0,0,0,0,0
62648.txt,5.49,3.3,2.2,0,0,0,7.69,1.1,1.1,0,0,10.99,2.2,0,4.4,3.3,0,4.4,9.89,1.1,2.2,2.2,1.1,3.3,7.69,1.1,2.2,0,0,0
63896.txt,7.5,0,7.5,0,0,7.5,2.5,0,2.5,0,0,2.5,0,2.5,0,0,0,0,2.5,0,2.5,2.5,0,2.5,2.5,0,0,0,0,2.5
65806.txt,6.98,6.98,0,0,0,0,4.65,0,0,0,0,6.98,0,2.33,0,4.65,0,4.65,4.65,0,0,0,2.33,2.33,0,0,0,0,0,0
66510.txt,8,1,7,1,0,0,2,0,0,0,1,17,1,4,1,5,1,9,2,0,1,1,0,0,1,0,0,0,0,0
66835.txt,3.45,1.72,1.72,0,0,0,3.45,0,1.72,0,0,10.34,5.17,0,1.72,0,1.72,1.72,12.07,1.72,0,6.9,1.72,1.72,3.45,0,0,0,0,0
67236.txt,11.34,1.03,10.31,8.25,0,2.06,4.12,0,1.03,0,0,16.49,0,6.19,2.06,4.12,3.09,4.12,2.06,0,2.06,0,0,1.03,3.09,0,0,0,0,0
69264.txt,1.08,1.08,0,0,0,0,3.23,0,0,0,0,11.83,1.08,4.3,2.15,2.15,3.23,2.15,0,0,0,0,0,0,7.53,0,0,9.68,0,0
70113.txt,2.25,1.12,1.12,0,0,1.12,3.37,0,0,0,0,6.74,0,3.37,0,0,1.12,2.25,5.62,0,0,5.62,0,0,2.25,13.48,0,0,0,0
70192.txt,0,0,0,0,0,0,7.41,0,0,0,0,5.56,0,0,1.85,1.85,0,5.56,11.11,1.85,1.85,7.41,0,0,5.56,0,0,7.41,0,0
70370.txt,4.76,2.38,2.38,0,0,2.38,7.14,0,0,0,0,19.05,0,2.38,0,9.52,2.38,7.14,7.14,0,0,7.14,0,0,2.38,0,0,0,0,0
70562.txt,5.13,2.56,2.56,2.56,0,0,15.38,0,0,0,5.13,12.82,0,2.56,2.56,0,2.56,5.13,12.82,5.13,5.13,7.69,0,0,0,0,0,0,0,0
70720.txt,4.84,0,4.84,0,0,0,4.84,0,0,0,0,6.45,1.61,1.61,0,3.23,0,0,3.23,1.61,0,0,1.61,0,1.61,0,0,1.61,0,0
74136.txt,2.99,2.99,0,0,0,0,7.46,0,0,0,0,10.45,2.99,0,2.99,4.48,0,4.48,2.99,0,1.49,1.49,0,0,0,0,0,0,0,0
74328.txt,7.64,2.08,5.56,0.69,0.69,0,0,0,0,0,0,8.33,0.69,2.08,0,4.86,0,2.08,4.17,0,1.39,2.78,0,0,0.69,4.17,0,0,0,0.69
74884.txt,9.76,0,9.76,0,0,2.44,0,0,0,0,0,12.2,0,7.32,0,4.88,0,4.88,2.44,0,0,2.44,0,0,0,0,0,0,0,0
75118.txt,0,0,0,0,0,0,10.42,0,0,0,2.08,6.25,0,0,0,6.25,0,6.25,16.67,8.33,6.25,4.17,0,0,12.5,0,0,0,0,0
77441.txt,1.69,1.69,0,0,0,0,3.39,0,0,0,0,14.41,4.24,4.24,4.24,1.69,0.85,2.54,5.93,0,0.85,4.24,0,0.85,0.85,0,0,0,0,0
77878.txt,3.39,3.39,0,0,0,0,8.47,0,0,0,0,8.47,0,1.69,0,3.39,0,3.39,8.47,3.39,0,3.39,1.69,0,3.39,0,0,3.39,0,0
77972.txt,5,5,0,0,0,0,10,0,0,0,0,20,0,5,2.5,2.5,0,10,5,0,0,0,2.5,2.5,2.5,0,0,2.5,0,0
79698.txt,6.06,3.03,3.03,0,0,3.03,0,0,0,0,0,9.09,0,3.03,0,0,6.06,0,3.03,0,0,3.03,0,0,0,6.06,0,3.03,0,0
80154.txt,4.62,4.62,0,0,0,0,10,0,0,0,0,9.23,1.54,5.38,0.77,1.54,1.54,0.77,4.62,3.08,1.54,0,0,0,3.85,1.54,0.77,0,0,0
80181.txt,9.35,9.35,0,0,0,0,21.5,0,1.87,0,0,13.08,0,0.93,2.8,7.48,0.93,5.61,8.41,7.48,0,0,0.93,0,0,2.8,0,0,0,0
80747.txt,0.93,0.93,0,0,0,0,7.48,0,0,0,0,12.15,0.93,1.87,0.93,6.54,0.93,4.67,5.61,0,3.74,1.87,0.93,0,1.87,0,1.87,1.87,0,0
82176.txt,0,0,0,0,0,0,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0
82848.txt,6.12,6.12,0,0,0,0,4.08,0,0,0,0,2.04,0,0,0,2.04,0,2.04,2.04,0,0,0,2.04,0,2.04,6.12,0,10.2,0,0
85053.txt,8.7,1.45,7.25,1.45,1.45,2.9,7.25,1.45,0,0,0,10.14,0,1.45,2.9,5.8,0,2.9,8.7,0,5.8,4.35,0,5.8,4.35,0,0,0,0,0
85203.txt,2.17,0,2.17,0,0,0,0,0,0,0,0,13.04,2.17,6.52,0,4.35,0,2.17,0,0,0,0,0,0,6.52,0,0,0,0,0
85667.txt,10.34,0,10.34,0.49,0.49,1.48,0,0,0,0,0,8.87,0,3.94,0,4.43,0.49,2.46,4.93,0,0.49,3.94,0,0.49,0.99,0,0,0,0,0
88339.txt,2.5,0,2.5,0,0,0,2.5,0,0,0,0,15,5,2.5,0,7.5,0,2.5,2.5,2.5,0,2.5,0,0,0,0,0,0,0,0
91939.txt,0,0,0,0,0,0,3.85,0,0,0,0,5.77,0,0,0,5.77,0,5.77,1.92,0,0,1.92,0,0,0,0,0,0,0,0
93455.txt,1.89,1.89,0,0,0,0,3.77,0,0,0,0,5.66,0,1.89,0,0,3.77,0,5.66,1.89,0,1.89,1.89,0,1.89,0,0,3.77,0,0
93922.txt,4.35,4.35,0,0,0,0,4.35,0,0,0,0,8.7,4.35,2.17,0,0,2.17,0,6.52,4.35,0,2.17,0,0,4.35,2.17,0,0,0,0
94045.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95089.txt,7.84,7.84,0,0,0,0,15.69,0,0,0,0,3.92,0,0,0,0,1.96,1.96,7.84,1.96,5.88,3.92,5.88,0,9.8,1.96,0,9.8,0,0
95409.txt,3.26,0,3.26,0,1.09,0,0,0,0,0,0,10.87,0,5.43,0,3.26,0,4.35,3.26,0,0,3.26,0,0,0,2.17,0,0,0,0
95512.txt,5.5,3.67,1.83,0,1.83,0,2.75,0,0,0,0.92,11.01,0,0,0,8.26,0,4.59,7.34,0,0,7.34,0,0,1.83,3.67,0,0,0,0
96602.txt,3.57,1.79,1.79,0,0,0,7.14,0,0,0,0,16.07,1.79,0,0,10.71,1.79,5.36,8.93,1.79,0,3.57,3.57,0,8.93,0,0,1.79,0,0
96886.txt,0,0,0,0,0,0,8.89,0,0,0,0,8.89,4.44,0,0,4.44,0,2.22,2.22,0,2.22,2.22,0,0,6.67,2.22,0,0,0,0
98748.txt,0,0,0,0,0,0,8.89,0,0,0,0,0,0,0,0,0,0,0,8.89,6.67,0,2.22,0,0,0,0,0,0,0,0
99697.txt,0,0,0,0,0,0,1.67,0,0,0,0,10,0,5,0,5,0,1.67,1.67,1.67,0,0,0,0,1.67,0,0,0,0,0
100307.txt,0,0,0,0,0,0,0,0,0,0,0,6.82,2.27,2.27,0,2.27,0,2.27,4.55,0,0,2.27,0,2.27,15.91,0,0,4.55,0,0
100540.txt,0,0,0,0,0,0,0,0,0,0,0,7.41,0,0,3.7,3.7,0,3.7,3.7,0,0,0,3.7,0,3.7,0,0,14.81,0,0
103383.txt,0.92,0.92,0,0,0,0,0,0,0,0,0,2.75,0,0.92,0,0,0.92,0.92,3.67,0,0.92,3.67,0,0,13.76,0,0,7.34,0,0
104052.txt,1.79,1.79,0,0,0,0,0,0,0,0,0,3.57,1.79,0,0,1.79,0,0,1.79,0,1.79,0,0,0,1.79,0,0,7.14,0,0
106966.txt,0,0,0,0,0,0,2.47,0,0,0,0,7.41,2.47,2.47,2.47,2.47,0,0,2.47,0,0,0,2.47,0,1.23,0,1.23,6.17,0,0
107674.txt,0.65,0.65,0,0,0,0,0.65,0,0,0,0,7.74,1.29,1.29,0,2.58,1.29,2.58,1.94,0,1.29,0,0.65,0,7.1,0,1.29,11.61,0,0
108139.txt,3.23,3.23,0,0,0,0,0,0,0,0,0,4.84,0,0,0,4.84,0,1.61,1.61,0,0,1.61,0,0,17.74,0,0,14.52,0,0
108828.txt,0.93,0.93,0,0,0,0,1.85,0,0,0,0,5.56,0,0.93,0.93,0,0.93,2.78,2.78,0,0,1.85,0.93,0,8.33,0.93,1.85,12.04,0,0
109134.txt,6.78,6.78,0,0,0,0,6.78,0,0,0,0,5.08,0,0,3.39,3.39,1.69,3.39,5.08,0,0,0,5.08,0,0,0,0,5.08,0,0
110571.txt,3.45,3.45,0,0,0,0,3.45,0,0,0,0,1.72,0,1.72,0,0,0,0,5.17,1.72,0,0,1.72,1.72,3.45,5.17,5.17,8.62,0,0
112211.txt,0,0,0,0,0,0,0,0,0,0,0,9.72,2.78,2.78,0,2.78,0,4.17,1.39,0,0,1.39,0,0,0,0,0,0,0,0
112272.txt,4.88,0,4.88,0,2.44,0,2.44,0,2.44,0,0,12.2,2.44,0,4.88,9.76,0,4.88,4.88,0,0,4.88,0,0,7.32,0,0,0,0,2.44
113556.txt,2.17,2.17,0,0,0,0,4.35,0,0,0,0,8.7,2.17,4.35,2.17,0,0,0,8.7,2.17,6.52,4.35,0,0,2.17,6.52,0,0,0,0
117431.txt,0,0,0,0,0,0,10,0,0,0,0,3.33,3.33,0,0,0,0,0,10,6.67,0,3.33,0,0,0,0,0,0,0,0
118908.txt,5.88,5.88,0,0,0,0,8.82,0,0,0,2.94,5.88,0,5.88,0,0,0,0,5.88,2.94,2.94,0,0,0,2.94,8.82,0,0,0,0
119046.txt,4.26,4.26,0,0,0,0,2.13,0,0,0,0,6.38,2.13,0,0,0,4.26,0,8.51,0,0,6.38,0,2.13,6.38,0,0,2.13,0,0
120192.txt,10,0,10,0,3.33,6.67,0,0,0,0,0,6.67,0,0,0,6.67,0,6.67,3.33,0,0,3.33,0,0,3.33,0,0,0,0,0
120724.txt,0,0,0,0,0,0,16.67,0,0,0,0,4.76,0,0,0,2.38,0,4.76,11.9,7.14,2.38,2.38,0,0,4.76,2.38,2.38,0,0,0
120757.txt,0.89,0.89,0,0,0,0,8.04,1.79,0,0,0,9.82,0.89,1.79,0,5.36,0.89,3.57,5.36,3.57,1.79,0.89,0,0,6.25,2.68,1.79,0,0,0
121580.txt,6.52,6.52,0,0,0,0,17.39,2.17,0,0,0,4.35,2.17,2.17,0,0,0,0,23.91,13.04,2.17,4.35,2.17,2.17,8.7,2.17,2.17,0,0,0
124071.txt,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,5.13,2.56,2.56,0,0,0,0,0,0,0,0,0,0,0,0
126401.txt,2.04,2.04,0,0,0,0,6.12,0,0,0,2.04,8.16,8.16,0,0,0,0,0,2.04,0,0,0,0,2.04,0,0,0,0,0,0
127477.txt,0,0,0,0,0,0,0,0,0,0,0,17.39,0,13.04,0,4.35,0,4.35,4.35,0,0,4.35,0,0,0,0,0,0,0,0
128071.txt,0,0,0,0,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0,13.21,1.89,0,11.32,0,0,9.43,0,1.89,0,0,0
130423.txt,2.63,2.63,0,0,0,0,2.63,0,0,0,0,9.21,1.32,1.32,0,1.32,1.32,3.95,1.32,1.32,0,0,0,0,0,0,0,0,0,0
134709.txt,15,2.5,12.5,0,12.5,0,0,0,0,0,0,15,2.5,2.5,0,2.5,2.5,5,17.5,0,7.5,10,0,0,2.5,0,0,0,0,0
134834.txt,5.26,5.26,0,0,0,0,0,0,0,0,0,2.63,1.32,0,1.32,1.32,0,1.32,3.95,0,3.95,1.32,2.63,0,0,0,0,0,0,0
135303.txt,0,0,0,0,0,0,0,0,0,0,0,12.12,9.09,3.03,0,0,0,0,3.03,0,3.03,0,0,0,3.03,0,0,0,0,0
135599.txt,0,0,0,0,0,0,2.78,2.78,0,0,0,16.67,5.56,1.39,2.78,5.56,0,5.56,4.17,0,1.39,2.78,0,0,2.78,0,0,0,0,0
138253.txt,0,0,0,0,0,0,7.89,0,0,0,0,10.53,5.26,5.26,0,0,0,2.63,13.16,5.26,0,7.89,0,0,18.42,0,0,0,0,0
138968.txt,0,0,0,0,0,0,7.41,0,0,0,0,11.11,3.7,0,0,3.7,3.7,0,18.52,0,11.11,11.11,0,0,7.41,0,0,0,0,0
139119.txt,0,0,0,0,0,0,11.43,0,0,0,0,11.43,0,5.71,0,5.71,0,5.71,2.86,2.86,0,0,0,0,0,0,0,0,0,0
141856.txt,0,0,0,0,0,0,6.67,0,1.67,0,0,10,1.67,0,1.67,1.67,5,1.67,1.67,0,1.67,0,0,0,5,0,3.33,3.33,0,0
144285.txt,2.99,2.99,0,0,0,0,8.96,0,0,0,5.97,1.49,0,0,0,0,0,1.49,4.48,0,0,2.99,1.49,0,0,4.48,0,0,4.48,1.49
144806.txt,2,0,2,0,0,2,6,2,0,0,0,10,2,0,0,4,0,6,8,4,2,2,0,0,0,0,0,0,0,4
146169.txt,0,0,0,0,0,0,2.94,0,0,0,0,8.82,0.74,5.15,0,2.21,0,2.21,3.68,2.94,0,0,0,0.74,0,0,0,0,0,0
148831.txt,2.01,2.01,0,0,0,0,0.67,0,0,0,0,6.04,0.67,0,0,1.34,1.34,2.68,1.34,0.67,0.67,0,0.67,0,0.67,1.34,0,0,0,0
149811.txt,1.96,1.96,0,0,0,0,7.84,0,0,0,0,5.88,1.96,0,0,0,1.96,1.96,7.84,7.84,0,0,0,0,0,3.92,0,1.96,0,0
149813.txt,0.97,0.97,0,0,0,0,1.94,0,0,0,0,8.74,2.91,2.91,0,1.94,0,1.94,2.91,0.97,0,1.94,0,0,0,0,0,0,0,0
150019.txt,0,0,0,0,0,0,1.41,0,0,0,0,11.27,1.41,1.41,0,5.63,0,7.04,2.82,1.41,0,0,1.41,0,1.41,0,0,0,0,0
151427.txt,6.15,4.62,1.54,0,0,1.54,0,0,0,0,0,9.23,3.08,1.54,1.54,4.62,0,3.08,0,0,0,0,0,0,0,0,0,0,0,1.54
154100.txt,0,0,0,0,0,0,8.33,0,0,0,0,10.42,0,2.08,0,6.25,2.08,2.08,6.25,0,6.25,0,0,0,4.17,2.08,0,0,0,0
155189.txt,3.92,3.92,0,0,0,0,7.84,0,0,0,0,5.88,0,0,0,1.96,0,3.92,11.76,3.92,0,3.92,1.96,1.96,0,0,0,1.96,0,0
156104.txt,4.84,4.84,0,0,0,0,4.84,0,0,0,0,6.45,0,6.45,0,0,0,0,9.68,3.23,4.84,3.23,3.23,0,0,0,0,0,0,0
156672.txt,2.27,2.27,0,0,0,0,6.82,0,0,0,0,6.82,0,2.27,0,4.55,0,0,4.55,0,2.27,2.27,0,0,9.09,2.27,6.82,18.18,0,0
158764.txt,5.88,3.92,1.96,0,0,1.96,9.8,0,0,0,0,15.69,0,1.96,1.96,5.88,1.96,9.8,7.84,0,5.88,1.96,3.92,1.96,3.92,1.96,0,11.76,0,0
159931.txt,6.82,6.82,0,0,0,0,38.64,6.82,0,0,0,2.27,2.27,0,0,0,0,0,2.27,2.27,0,0,0,0,0,2.27,0,0,0,0
160092.txt,6.52,4.35,2.17,0,0,2.17,4.35,0,0,0,0,26.09,0,10.87,0,4.35,4.35,8.7,4.35,0,0,4.35,0,0,0,0,0,0,0,0
161129.txt,3.08,1.54,1.54,0,0,0,9.23,0,0,0,0,16.92,0,3.08,4.62,6.15,1.54,7.69,3.08,0,0,0,1.54,1.54,1.54,0,0,0,0,0
162621.txt,0,0,0,0,0,0,2.5,0,0,0,0,25,2.5,2.5,2.5,5,5,10,12.5,0,0,7.5,0,5,2.5,0,0,0,0,0
162994.txt,0,0,0,0,0,0,5.5,0,0,0,0,11.01,0,0.92,1.83,3.67,0,6.42,4.59,0,0.92,2.75,1.83,0,0.92,0,0,3.67,0,0
164182.txt,0,0,0,0,0,0,1.41,0,0,0,0,11.27,1.41,1.41,0,2.82,1.41,5.63,0,0,0,0,0,0,0,1.41,0,0,0,0
164924.txt,2.08,2.08,0,0,0,0,14.58,0,0,0,0,8.33,0,0,0,4.17,4.17,0,2.08,2.08,0,0,0,0,0,0,0,0,0,0
165846.txt,0,0,0,0,0,0,1.54,0,0,0,0,16.92,3.08,1.54,1.54,9.23,1.54,3.08,1.54,0,1.54,0,0,0,3.08,0,0,0,0,0
166468.txt,8.33,2.78,5.56,0,0,5.56,2.78,0,0,0,0,15.28,1.39,1.39,0,4.17,4.17,6.94,11.11,0,9.72,0,2.78,5.56,6.94,0,0,0,0,0
166680.txt,1.56,1.56,0,0,0,0,1.56,0,0,0,0,17.19,3.12,4.69,0,1.56,4.69,4.69,4.69,0,3.12,3.12,0,0,3.12,0,0,0,0,0
166862.txt,6.49,2.6,3.9,3.9,0,0,3.9,0,0,0,0,3.9,2.6,0,1.3,0,0,0,9.09,0,0,1.3,3.9,3.9,0,0,0,0,0,0
167371.txt,8.33,0,8.33,2.08,0,4.17,0,0,0,0,0,16.67,2.08,2.08,2.08,10.42,0,6.25,4.17,0,4.17,0,2.08,2.08,2.08,0,0,0,0,0
167532.txt,7.14,1.79,5.36,1.79,0,0,8.93,0,0,0,0,12.5,0,1.79,1.79,7.14,1.79,1.79,5.36,1.79,0,1.79,0,1.79,0,0,3.57,0,0,0
167574.txt,2,2,0,0,0,0,6,0,0,0,0,10,6,4,2,2,0,0,8,0,2,6,0,0,2,2,0,0,0,0
167971.txt,4.94,2.47,2.47,0,0,1.23,2.47,0,0,0,0,12.35,1.23,4.94,2.47,2.47,2.47,2.47,6.17,2.47,1.23,1.23,0,2.47,0,0,0,0,0,0
170762.txt,6.82,4.55,2.27,0,2.27,0,11.36,0,0,0,0,13.64,0,4.55,2.27,4.55,2.27,6.82,4.55,0,2.27,2.27,4.55,0,0,0,0,0,0,2.27
171740.txt,0,0,0,0,0,0,2,0,0,0,0,20,4,6,4,4,0,8,4,0,4,0,0,0,4,0,2,0,0,0
172645.txt,3.03,3.03,0,0,0,0,1.52,0,0,0,0,10.61,1.52,4.55,0,0,3.03,1.52,1.52,0,0,1.52,0,0,3.03,0,0,0,0,0
173969.txt,4.88,2.44,2.44,2.44,0,0,9.76,0,0,0,0,2.44,0,0,0,2.44,0,0,9.76,2.44,0,2.44,2.44,4.88,0,0,0,0,0,0
175308.txt,8.33,0,8.33,0,0,0,5.56,0,0,0,0,13.89,5.56,5.56,2.78,0,0,0,13.89,0,0,2.78,5.56,5.56,2.78,2.78,0,2.78,0,0
175854.txt,2,0,2,0,0,2,16,0,0,0,0,12,4,2,0,2,0,4,14,10,2,4,2,2,0,6,0,0,0,0
177615.txt,6.73,3.85,2.88,0.48,0,0.48,2.88,0,0,0,0,10.58,1.92,3.37,1.92,1.92,0,3.37,12.02,1.92,1.44,6.73,0.96,3.37,1.44,0.96,0,0.96,0,0
178047.txt,7.14,7.14,0,0,0,0,4.76,0,0,0,0,7.14,2.38,0,2.38,0,2.38,2.38,16.67,0,7.14,11.9,4.76,0,23.81,0,0,7.14,0,0
179531.txt,0,0,0,0,0,0,0,0,0,0,0,13.04,0,8.7,0,0,0,4.35,0,0,0,0,0,0,4.35,0,0,0,0,0
180640.txt,10.34,10.34,0,0,0,0,3.45,0,0,0,0,6.9,0,0,0,6.9,0,3.45,0,0,0,0,0,0,6.9,6.9,0,3.45,0,0
182260.txt,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,3.92,0,0,5.88,0,0,5.88,0,0,0,0,7.84,7.84,0,0
183723.txt,4.42,0,4.42,0.88,0,0.88,0,0,0,0,0,11.5,2.65,1.77,0,6.19,0,2.65,4.42,0,0,3.54,0,0.88,0.88,0,0,0,0,0
187311.txt,12.5,0,12.5,0,0,0,6.25,0,0,0,0,6.25,0,0,0,0,0,6.25,6.25,0,0,0,0,6.25,0,0,0,0,0,0
188023.txt,6.42,2.75,3.67,0,2.75,0,0,0,0,0,0,14.68,0.92,2.75,0,6.42,0,7.34,11.01,0,3.67,6.42,1.83,0,1.83,0,0,0,0,0
188968.txt,7.96,4.42,0.88,0,0,0.88,9.73,0,0,0,0,16.81,0,5.31,3.54,6.19,0.88,6.19,5.31,0.88,0.88,1.77,0.88,1.77,0,0.88,0,0.88,0,0
